vessel,hatchdeck,ffmcodes,codprod,packhouse,idpalet,colpal,datescan,hourscan
00302,01A,611124520,0576,7802F,002880,0090,19-Dec-06,1814
00302,01A,611124520,0576,7802F,002884,0090,19-Dec-06,1815
00302,01A,611124520,0576,7802F,002887,0090,19-Dec-06,1814
00302,01A,611124520,0576,7808L,811660,0090,19-Dec-06,1822
00302,01A,611124520,0576,7808L,811667,0090,19-Dec-06,1851
00302,01A,611124520,0576,7808L,811668,0090,19-Dec-06,1822
00302,01A,611124520,0576,7808L,811733,0090,19-Dec-06,1847
00302,01A,611124520,0576,7808L,812024,0090,19-Dec-06,1821
00302,01A,611124520,0576,7808L,812025,0090,19-Dec-06,1822
00302,01A,611124520,0576,7808L,812687,0090,19-Dec-06,1851
00302,01A,611124520,0576,7808L,812789,0090,19-Dec-06,1822
00302,01A,611124520,0576,7808L,812834,0090,19-Dec-06,1847
00302,01A,611124520,0576,7808L,812949,0090,19-Dec-06,1822
00302,01A,611124520,0576,7814R,012415,0099,19-Dec-06,1855
00302,01A,611124520,0576,7814R,012416,0099,19-Dec-06,1855
00302,01A,611124520,0576,7814R,012427,0099,19-Dec-06,1855
00302,01A,611124520,0576,7814R,012461,0099,19-Dec-06,1854
00302,01A,611124520,0576,7814R,012493,0099,19-Dec-06,1854
00302,01A,611124520,0576,7814R,012516,0099,19-Dec-06,1854
00302,01A,611124520,0576,7814R,012517,0099,19-Dec-06,1854
00302,01A,611124520,0576,7814R,012536,0099,19-Dec-06,1855
00302,01A,611124520,0576,7814R,012567,0099,19-Dec-06,1855
00302,01A,611124520,0576,7814R,012582,0099,19-Dec-06,1815
00302,01A,611124520,0576,7904P,003733,0099,19-Dec-06,1847
00302,01A,611124520,0576,7904P,003739,0099,19-Dec-06,1851
00302,01A,611124520,0842,7710F,016594,0099,19-Dec-06,1924
00302,01A,611124520,0842,7710F,017853,0099,19-Dec-06,1741
00302,01A,611124520,0842,7710F,017855,0099,19-Dec-06,1740
00302,01A,611124520,0842,7710F,017858,0099,19-Dec-06,1745
00302,01A,611124520,0842,7710F,017860,0099,19-Dec-06,1743
00302,01A,611124520,0842,7802F,002810,0099,19-Dec-06,1751
00302,01A,611124520,0842,7802F,002819,0099,19-Dec-06,1751
00302,01A,611124520,0842,7802F,002829,0099,19-Dec-06,1752
00302,01A,611124520,0842,7802F,002900,0099,19-Dec-06,1751
00302,01A,611124520,0842,7814R,012605,0099,19-Dec-06,1923
00302,01A,611124520,0842,7814R,012629,0099,19-Dec-06,1937
00302,01A,611124520,0842,7814R,012636,0099,19-Dec-06,1914
00302,01A,611124520,0842,7814R,012644,0099,19-Dec-06,1914
00302,01A,611124520,0842,7814R,012649,0099,19-Dec-06,1914
00302,01A,611124520,0842,7814R,012665,0099,19-Dec-06,1918
00302,01A,611124520,0842,7814R,012666,0099,19-Dec-06,1924
00302,01A,611124520,0842,7814R,012677,0099,19-Dec-06,1924
